Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Spalte7,Spalte8,Spalte9,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE,Zyklus,Nachorder?
X0007653-1,Easy Pro Reinigungsbürsten-Set,JA,036121311107,4002021,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005536,schwarz,26,Set,UN,,,0,,,,7,,,1,,,,,2022-06-10,10.248056,10.248133,,,0,0,,81.96,,2022-03-28,17.99,32.5,0.446462,1.8,"MP-1,7-0226",17.99,17.99,Active,0
X0008059-1,"Turbo-Spray 5-Funktionen, Spraydose - 400ml",JA,7610567953041,2172679000,Z141,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Pflegemittel,BRUNOX,M000084840,schwarz/orange,24,400 ml,UN,,,0,,,,13,,,,,,,,2026-03-03,4.5675,5.340577,,,0,0,,60.49,,2024-02-19,8.99,11.95,0.247699,2,"MP-1,8-0326",8.99,8.99,Active,0
X0008059-2,"Turbo-Spray 5-Funktionen, Spraydose - 100ml",JA,7610567953102,03562022,Z141,Marco,K1127,Hermann Hartje KG,TZB,Pflegemittel,BRUNOX,M000084839,schwarz/orange,26,100 ml,UN,,,0,,,,11,,,,,,,,2026-03-04,2.745,2.757121,,,0,0,,30.2,,2024-02-19,4.99,5.95,0.161345,1.8,"MP-1,8-0326",4.99,4.99,Active,0
X0008061-1,"Federgabel Deo, Spraydose - 100ml",JA,7610567953119,03562014,Z141,Marco,K1127,Hermann Hartje KG,TZB,Pflegemittel,BRUNOX,M000005168,schwarz/orange,26,100 ml,UN,,,0,,,,15,,,4,,,,,2026-03-13,3.275,3.425857,,,0,0,,62.23,,2024-02-19,5.99,9.75,0.385641,1.8,"MP-1,8-0326",5.99,5.99,Active,0
X0033385-1,F100 Kettenöl Tropfflasche - 50ml,JA,4006539028627,2862,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005255,Schwarz/grün,25,50 ml,UN,,,0,,,,44,,,1,,,,,2026-03-25,4.362917,4.375885,,,0,0,,196.83,,2023-10-20,7.49,9.99,0.25025,1.7,"MP-1,65-0226",7.49,7.49,Active,0
X0033386-1,F100 Kettenöl Spraydose - 100ml,JA,4006539028610,2861,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005256,Schwarz/grün,25,100 ml,UN,,,0,,,,17,,,,,,,,2026-03-11,6.551667,6.567604,,,0,0,,112.59,,2023-10-20,10.99,14.99,0.266845,1.7,"MP-1,65-0226",10.99,10.99,Active,0
X0033387-1,F100 Kettenöl Spraydose - 300ml,JA,4006539028603,2860,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005257,Schwarz/grün,25,300 ml,UN,,,0,,,,24,,,2,,,,,2026-03-25,8.735833,8.777365,,,0,0,,227.46,,2023-10-20,14.99,19.99,0.250125,1.7,"MP-1,65-0226",14.99,14.99,Active,0
X0033388-1,F100 Trocken Schmierstoff Spraydose - 100ml,JA,4006539028900,2890,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005260,grau/grün,25,100 ml,UN,,,0,,,,1,,,1,,,,,2024-07-15,6.093333,6.398889,,,0,0,,12.69,,2023-10-20,10.99,14.99,0.266845,1.8,"MP-1,65-0226",10.99,10.99,Active,0
X0033389-1,F100 Kettenreiniger Spraydose - 300ml,JA,4006539028504,2850,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005258,Schwarz/grün,25,300 ml,UN,,,0,,,,19,,,1,,,,,2026-03-25,6.989167,6.959462,,,0,0,,140.72,,2023-10-20,11.99,15.99,0.250156,1.7,"MP-1,65-0226",11.99,11.99,Active,0
X0033391-1,F100 E-Bike Kettenöl Spraydose - 100ml,JA,4006539028306,2830,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005249,Schwarz/grün,25,100 ml,UN,,,0,,,,15,,,2,,,,,2026-03-25,6.551667,6.562381,,,0,0,,112.92,,2023-10-20,10.99,14.99,0.266845,1.7,"MP-1,65-0226",10.99,10.99,Active,0
X0033393-1,"F100 Matt-Pflege Spray, Spraydose - 250ml",JA,4006539028207,2820,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005259,Schwarz/grün,25,250 ml,UN,,,0,,,,6,,,2,,,,,2026-03-25,6.115,6.244167,,,0,0,,49.46,,2023-10-20,9.99,13.99,0.285919,1.6,"MP-1,65-0226",9.99,9.99,Active,0
X0033394-1,F100 Fahrradreiniger Spritzflasche - 100ml,JA,4006539028023,2802,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005253,grau/grün,25,100 ml,UN,,,0,,,,15,,,,,,,,2026-03-11,2.615833,2.615833,,,0,0,,39.23,,2023-10-20,4.49,5.99,0.250417,1.7,"MP-1,65-0226",4.49,4.49,Active,0
X0033395-1,F100 Schutz- und Pflegeöl Spraydose - 300ml,JA,4006539028146,2814,Z141,Marco,K00002921,Dr. O.K. Wack Chemie GmbH,TZB,Pflegemittel,DRWACK,M000005251,grau/grün,25,300 ml,UN,,,0,,,,7,,,,,,,,2026-03-11,6.988333,7.207667,,,0,0,,49.25,,2023-10-20,11.99,15.99,0.250156,1.7,"MP-1,65-0226",11.99,11.99,Active,0
X0007688-1,Hummer 2 Minitool,JA,4712511824834,15400009,Z151,Marco,K1238,RTI Sports GmbH,TZB,Werkzeuge Minitools,TOPEAK,M000011404,schwarz,26,18 Funktionen,UN,,,0,,,,9,,,,,,,,2026-01-29,12,12.013977,,,0,0,,108.37,,2021-11-08,18.99,24.95,0.238878,1.6,"MP-1,55-0326",18.99,18.99,Active,0
X0007863-1,Mini 9 Minitool,JA,4712511823257,15400063,Z151,Marco,K1238,RTI Sports GmbH,TZB,Werkzeuge Minitools,TOPEAK,M000086628,grau,26,9 Funktionen,UN,,,0,,,,49,,,1,,,,,2022-12-12,8.63,8.630833,,,0,0,,431.59,,2022-03-04,10.99,15.95,0.310972,1.3,"MP-1,3-0326-Überbestand",10.99,10.99,Active,0
X0033625-2,Mini 20 Pro Minitool,JA,4712511824391,15400166,Z151,Marco,K1238,RTI Sports GmbH,TZB,Werkzeuge Minitools,TOPEAK,M000050220,schwarz,26,20 Funktionen,UN,,,0,,,,2,,,,,,,,2025-06-01,16.814,18.674662,,,0,0,,33.67,,2021-11-08,27.99,36.95,0.24249,1.7,"MP-1,55-0326",27.99,27.99,Active,0
X0007952-1,DV1 Schlauch 12 Zoll - 32 mm,JA,4026495099783,1431210000,T046,MC,K1314,E. Wiener Bike Parts GmbH,TZB,Schläuche,SCHWALBE,M000006381,schwarz,25,47/62-203,UN,,,0,,,,25,,,,,,,,2026-03-02,2.1384,2.5192,,,0,0,,53.46,,2023-01-30,4.99,8.9,0.439326,2.3,MC-A-NOS,6.99,6.99,Discontinued,0
X0007954-1,DV2 Schlauch 14/16 Zoll - 32 mm,JA,4026495099868,1431410000,T046,MC,K1314,E. Wiener Bike Parts GmbH,TZB,Schläuche,SCHWALBE,M000006386,schwarz,25,32/47-288/305,UN,,,0,,,,7,,,,,,,,2023-01-31,2.9,2.9,,,0,0,,20.3,,2023-01-30,6.99,8.9,0.214607,2.4,MC-A-NOS,6.99,6.99,Discontinued,0
X0007955-1,DV3 Schlauch 16 Zoll - 32 mm,JA,4026495099943,1431610000,T046,MC,K1314,E. Wiener Bike Parts GmbH,TZB,Schläuche,SCHWALBE,M000006387,schwarz,25,47/62-305,UN,,,0,,,,2,,,,,,,,2023-01-31,2.9,2.9,,,0,0,,5.8,,2023-01-30,6.99,8.9,0.214607,2.4,MC-A-NOS,6.99,6.99,Discontinued,0
X0007957-1,AV5 Schlauch 18 Zoll - 40 mm,JA,4026495100069,SB10412310,T046,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Schläuche,SCHWALBE,M000006388,schwarz,25,32/47-355/400,UN,,,0,,,,37,,,,,,,,2023-01-31,2.9,2.9,,,0,0,,107.3,,2023-01-30,6.99,8.9,0.214607,2.4,MC-AUSLAUF,6.99,6.99,Discontinued,0
